MovieName,ReleaseYear,Duration,IMDBRating,Metascore,Votes,Genre,Gross,GrossRevenue ,Budget
Vanilla Sky,2001,136,6.9,45,284896,Fantasy,$100.61M,100610000,68000000
"Monsters, Inc.",2001,92,8.1,79,974881,Animation,$289.92M,289920000,115000000
Lost in Translation,2003,102,7.7,91,486569,Comedy,$44.59M,44590000,4000000
Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,1073655,Drama,$34.40M,34400000,20000000
The Last Samurai,2003,154,7.8,55,469183,Action,$111.11M,111110000,140000000
Spider-Man,2002,121,7.4,73,875644,Action,$403.71M,403710000,139000000
Love Actually,2003,135,7.6,55,530276,Comedy,$59.70M,59700000,40000000
About a Boy,2002,101,7.1,75,191368,Comedy,$41.39M,41390000,27000000
The Bourne Identity,2002,119,7.8,68,574598,Action,$121.66M,121660000,60000000
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,63,1205230,Action,$305.41M,305410000,140000000
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.9,92,1998243,Action,$315.54M,315540000,93000000
The Lord of the Rings: The Return of the King,2003,201,9,94,1970311,Action,$377.85M,377850000,94000000
A Beautiful Mind,2001,135,8.2,72,983621,Biography,$170.74M,170740000,60000000
Minority Report,2002,145,7.6,80,582608,Action,$132.07M,132070000,102000000
Phone Booth,2002,81,7.1,56,284950,Crime,$46.57M,46570000,13000000
Star Wars: Episode II - Attack of the Clones,2002,142,6.6,54,756098,Action,$310.68M,310680000,120000000
The Chronicles of Riddick,2004,119,6.6,38,241199,Action,$57.76M,57760000,105000000
Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82,688536,Adventure,$249.36M,249360000,130000000
Harry Potter and the Chamber of Secrets,2002,161,7.4,63,689550,Adventure,$261.99M,261990000,100000000
Final Destination 2,2003,90,6.2,38,181204,Horror,$46.96M,46960000,26000000
John Q,2002,116,7.1,30,143262,Crime,$71.76M,71760000,36000000
The Day After Tomorrow,2004,124,6.5,47,474628,Action,$186.74M,186740000,125000000
Chicago,2002,113,7.2,81,242689,Comedy,$170.69M,170690000,45000000
The Terminal,2004,128,7.4,55,493561,Comedy,$77.87M,77870000,60000000
Kill Bill: Vol. 1,2003,111,8.2,69,1187005,Action,$70.10M,70100000,30000000
Y tu mamá también,2001,106,7.7,89,128612,Drama,$13.62M,13620000,5000000
Die Another Day,2002,133,6.1,56,228705,Action,$160.94M,160940000,140000000
Freddy vs. Jason,2003,97,5.7,37,126926,Action,$82.62M,82620000,30000000
X2,2003,134,7.4,68,574375,Action,$214.95M,214950000,110000000
Master and Commander: The Far Side of the World,2003,138,7.5,81,237118,Action,$93.93M,93930000,150000000
The Matrix Revolutions,2003,129,6.7,47,541644,Action,$139.31M,139310000,150000000
The Matrix Reloaded,2003,138,7.2,62,628383,Action,$281.49M,281490000,150000000
White Chicks,2004,109,5.8,41,162209,Comedy,$70.83M,70830000,37000000
The Last Castle,2001,131,6.9,43,85048,Action,$18.21M,18210000,72000000
Dogville,2003,178,8,61,158178,Crime,$1.53M,1530000,10000000
Black Hawk Down,2001,144,7.7,74,422089,Action,$108.64M,108640000,92000000
Catch Me If You Can,2002,141,8.1,75,1089154,Biography,$164.62M,164620000,52000000
Gangs of New York,2002,167,7.5,72,471455,Crime,$77.81M,77810000,100000000
Man on Fire,2004,146,7.7,47,388223,Action,$77.91M,77910000,70000000
Cidade de Deus,2002,130,8.6,79,798041,Crime,$7.56M,7560000,3300000
Saw,2004,103,7.6,46,464803,Horror,$56.00M,56000000,1200000
Dreamcatcher,2003,136,5.5,35,96287,Drama,$33.72M,33720000,68000000
Not Another Teen Movie,2001,89,5.8,32,115369,Comedy,$38.25M,38250000,16000000
The Lord of the Rings: The Two Towers,2002,179,8.8,87,1776242,Action,$342.55M,342550000,79000000
Ice Age,2002,81,7.5,61,516920,Animation,$176.39M,176390000,59000000
2 Fast 2 Furious,2003,107,5.9,38,296439,Action,$127.15M,127150000,76000000
21 Grams,2003,124,7.6,70,245431,Crime,$16.29M,16290000,20000000
Bad Santa,2003,92,7.1,70,154960,Comedy,$60.06M,60060000,23000000
Soul Plane,2004,86,4.5,33,24499,Comedy,$13.92M,13920000,16000000
Dawn of the Dead,2004,101,7.3,59,271441,Action,$59.02M,59020000,28000000
Elf,2003,97,7.1,66,310137,Adventure,$173.40M,173400000,32000000
The Butterfly Effect,2004,113,7.6,30,519511,Drama,$57.94M,57940000,13000000
How to Lose a Guy in 10 Days,2003,116,6.5,45,268484,Comedy,$105.81M,105810000,50000000
Finding Nemo,2003,100,8.2,90,1108977,Animation,$380.84M,380840000,94000000
Le fabuleux destin d'Amélie Poulain,2001,122,8.3,70,792312,Comedy,$33.23M,33230000,10000000
L'auberge espagnole,2002,122,7.3,65,42724,Comedy,$3.90M,3900000,5300000
Cold Mountain,2003,154,7.2,73,155683,Adventure,$95.64M,95640000,79000000
Before Sunset,2004,80,8.1,91,286724,Drama,$5.82M,5820000,2700000
Hellboy,2004,122,6.8,72,348804,Action,$59.62M,59620000,66000000
The Hours,2002,110,7.5,80,138215,Drama,$41.68M,41680000,25000000
Training Day,2001,122,7.7,71,470822,Crime,$76.63M,76630000,45000000
Terminator 3: Rise of the Machines,2003,109,6.3,66,417664,Action,$150.37M,150370000,200000000
Troy,2004,163,7.3,56,568261,Drama,$133.38M,133380000,175000000
Shrek 2,2004,93,7.3,75,502491,Animation,$436.47M,436470000,150000000
Road to Perdition,2002,117,7.7,72,283767,Crime,$104.45M,104450000,80000000
The Pianist,2002,150,8.5,85,907282,Biography,$32.57M,32570000,35000000
The Core,2003,135,5.5,48,106992,Action,$31.19M,31190000,60000000
About Schmidt,2002,125,7.2,85,133327,Drama,$65.02M,65020000,30000000
Mr. Deeds,2002,96,5.8,24,152047,Comedy,$126.29M,126290000,50000000
Friday After Next,2002,85,5.8,35,30098,Comedy,$32.98M,32980000,20000000
Undercover Brother,2002,86,5.9,69,36191,Action,$38.23M,38230000,25000000
Bruce Almighty,2003,101,6.8,46,431861,Comedy,$242.83M,242830000,80000000
One Hour Photo,2002,96,6.8,64,131418,Drama,$31.60M,31600000,12000000
The Italian Job,2003,111,7,68,387607,Action,$106.13M,106130000,60000000
Austin Powers in Goldmember,2002,94,6.2,62,222263,Action,$213.31M,213310000,63000000
Behind Enemy Lines,2001,106,6.4,49,112587,Action,$59.07M,59070000,40000000
Life as a House,2001,125,7.4,45,45535,Drama,$15.65M,15650000,18000000
Collateral Damage,2002,108,5.5,33,77843,Action,$40.08M,40080000,85000000
Mystic River,2003,138,7.9,84,484328,Crime,$90.14M,90140000,25000000
Blade II,2002,117,6.7,52,233617,Action,$82.35M,82350000,54000000
Harold & Kumar Go to White Castle,2004,88,7,64,205508,Adventure,$18.23M,18230000,9000000
25th Hour,2002,135,7.6,69,184393,Drama,$13.06M,13060000,15000000
Frida,2002,123,7.3,61,95068,Biography,$25.89M,25890000,12000000
American Wedding,2003,96,6.3,43,216630,Comedy,$104.57M,104570000,55000000
Signs,2002,106,6.8,59,384470,Drama,$227.97M,227970000,72000000
Agent Cody Banks,2003,102,5.1,41,36884,Action,$47.94M,47940000,28000000
Maid in Manhattan,2002,105,5.4,45,95925,Comedy,$94.01M,94010000,55000000
xXx,2002,124,5.8,48,186142,Action,$142.11M,142110000,70000000
Adaptation.,2002,115,7.7,83,202467,Comedy,$22.25M,22250000,19000000
Cheaper by the Dozen,2003,98,5.9,46,108627,Comedy,$138.61M,138610000,40000000
Wrong Turn,2003,84,6.1,32,130675,Horror,$15.42M,15420000,12600000
Anchorman: The Legend of Ron Burgundy,2004,94,7.1,63,377430,Comedy,$85.29M,85290000,26000000
Something's Gotta Give,2003,128,6.7,66,128783,Comedy,$124.73M,124730000,80000000
K-PAX,2001,120,7.4,49,192657,Drama,$50.34M,50340000,48000000
The Royal Tenenbaums,2001,110,7.6,76,312390,Comedy,$52.36M,52360000,21000000
Bad Boys II,2003,147,6.6,38,266052,Action,$138.61M,138610000,130000000
Hable con ella,2002,112,7.9,86,117279,Drama,$9.36M,9360000,9285469
Monster,2003,109,7.3,74,161202,Biography,$34.47M,34470000,8000000
Sinbad: Legend of the Seven Seas,2003,88,6.7,48,59210,Animation,$26.48M,26480000,60000000
Bend It Like Beckham,2002,112,6.7,66,116219,Comedy,$32.54M,32540000,3500159
Serendipity,2001,90,6.8,52,121038,Comedy,$50.29M,50290000,28000000
The Texas Chainsaw Massacre,2003,98,6.2,38,151983,Horror,$80.57M,80570000,9500000
Jeepers Creepers 2,2003,106,5.7,36,70336,Horror,$35.67M,35670000,17000000
Jeepers Creepers,2001,90,6.2,49,141857,Horror,$37.90M,37900000,10000000
How High,2001,93,6.2,29,61619,Comedy,$31.16M,31160000,12000000
8 Mile,2002,110,7.2,77,319349,Drama,$116.72M,116720000,41000000
Garden State,2004,102,7.4,67,222948,Comedy,$26.78M,26780000,2500000
Scary Movie 3,2003,84,5.5,49,157784,Comedy,$110.00M,110000000,48000000
Equilibrium,2002,107,7.3,33,346194,Action,$1.20M,1200000,20000000
Thirteen,2003,100,6.8,70,97521,Drama,$4.60M,4600000,2000000
Resident Evil,2002,100,6.6,35,287328,Action,$40.12M,40120000,33000000
Big Fish,2003,125,8,58,458004,Adventure,$66.26M,66260000,70000000
Shallow Hal,2001,114,6,48,144312,Comedy,$70.84M,70840000,40000000
Men in Black II,2002,88,6.2,49,401984,Action,$190.42M,190420000,140000000
Dodgeball: A True Underdog Story,2004,92,6.7,55,266406,Comedy,$114.33M,114330000,20000000
Kill Bill: Vol. 2,2004,137,8,83,801424,Action,$66.21M,66210000,30000000
50 First Dates,2004,99,6.8,48,380538,Comedy,$120.91M,120910000,75000000
Lilo & Stitch,2002,85,7.3,74,210600,Animation,$145.79M,145790000,80000000
Matchstick Men,2003,116,7.3,61,137959,Comedy,$36.91M,36910000,62000000
K-19: The Widowmaker,2002,138,6.7,58,67162,Drama,$35.17M,35170000,100000000
Stuck on You,2003,118,5.8,62,55022,Comedy,$33.83M,33830000,55000000
King Arthur,2004,126,6.3,46,175718,Action,$51.88M,51880000,120000000
Unfaithful,2002,124,6.7,63,97979,Drama,$52.80M,52800000,50000000
Zoolander,2001,90,6.5,61,290815,Comedy,$45.17M,45170000,28000000
Napoleon Dynamite,2004,96,7,64,236926,Comedy,$44.54M,44540000,400000
Mean Girls,2004,97,7.1,66,432681,Comedy,$86.06M,86060000,17000000
The Machinist,2004,101,7.6,61,414293,Drama,$1.08M,1080000,5000000
Panic Room,2002,112,6.8,65,295983,Crime,$96.40M,96400000,48000000
Joy Ride,2001,97,6.6,75,75631,Action,$21.97M,21970000,23000000
Two Weeks Notice,2002,101,6.1,42,125657,Comedy,$93.35M,93350000,60000000
Scooby-Doo,2002,89,5.3,35,124984,Adventure,$153.29M,153290000,84000000
Red Dragon,2002,124,7.2,60,290012,Crime,$93.15M,93150000,78000000
Hulk,2003,138,5.6,54,278019,Action,$132.18M,132180000,137000000
The Scorpion King,2002,92,5.5,45,145111,Action,$91.05M,91050000,60000000
Van Helsing,2004,131,6.1,35,283613,Action,$120.18M,120180000,160000000
Confessions of a Dangerous Mind,2002,113,7,67,91811,Biography,$16.00M,16000000,30000000
S.W.A.T.,2003,117,6.1,45,153687,Action,$116.93M,116930000,80000000
Tuck Everlasting,2002,90,6.6,66,25279,Drama,$19.16M,19160000,15000000
Peter Pan,2003,113,6.8,64,79884,Adventure,$48.46M,48460000,4000000
The Rundown,2003,104,6.7,59,142798,Action,$47.73M,47730000,85000000
The Transporter,2002,92,6.8,51,320239,Action,$25.30M,25300000,21000000
Identity,2003,90,7.3,64,266228,Mystery,$52.16M,52160000,30000000
The Life of David Gale,2003,130,7.5,31,125754,Crime,$19.59M,19590000,50000000
A Walk to Remember,2002,101,7.3,35,220895,Drama,$41.28M,41280000,11000000
The Notebook,2004,123,7.8,53,617363,Drama,$81.00M,81000000,29000000
EuroTrip,2004,92,6.6,45,222169,Comedy,$17.72M,17720000,25000000
Gothika,2003,98,5.8,38,118884,Horror,$59.69M,59690000,40000000
Punch-Drunk Love,2002,95,7.3,78,176564,Comedy,$17.84M,17840000,25000000
Miracle,2004,135,7.4,68,58660,Biography,$64.38M,64380000,28000000
School of Rock,2003,109,7.2,82,329433,Comedy,$81.26M,81260000,35000000
The Station Agent,2003,89,7.6,81,73165,Comedy,$5.74M,5740000,500000
We Were Soldiers,2002,138,7.2,65,150781,Action,$78.12M,78120000,75000000
The Lizzie McGuire Movie,2003,94,5.5,56,41954,Adventure,$42.73M,42730000,17000000
Spirit: Stallion of the Cimarron,2002,83,7.2,52,84901,Animation,$73.28M,73280000,80000000
The Count of Monte Cristo,2002,131,7.7,61,147966,Action,$54.23M,54230000,35000000
Once Upon a Time in Mexico,2003,102,6.3,56,169416,Action,$56.36M,56360000,29000000
Paycheck,2003,119,6.3,43,113077,Action,$53.79M,53790000,60000000
Anger Management,2003,106,6.2,52,227698,Comedy,$135.65M,135650000,75000000
Enough,2002,115,5.8,25,47601,Crime,$40.01M,40010000,38000000
The Human Stain,2003,106,6.2,57,32174,Drama,$5.38M,5380000,30000000
The League of Extraordinary Gentlemen,2003,110,5.8,30,183565,Action,$66.47M,66470000,78000000
The Punisher,2004,124,6.4,33,170185,Action,$33.81M,33810000,9000000
Under the Tuscan Sun,2003,113,6.7,52,59113,Comedy,$43.61M,43610000,18000000
Secret Window,2004,96,6.5,46,209001,Drama,$48.02M,48020000,40000000
The Sum of All Fears,2002,124,6.4,45,124141,Action,$118.91M,118910000,68000000
Glitter,2001,104,2.4,14,24070,Drama,$4.27M,4270000,22000000
Just Married,2003,95,5.5,28,74232,Comedy,$56.13M,56130000,18000000
Daredevil,2003,103,5.3,42,228640,Action,$102.54M,102540000,78000000
Dirty Dancing: Havana Nights,2004,86,5.9,39,29433,Drama,$14.16M,14160000,25000000
Primer,2004,77,6.7,68,113803,Drama,$0.42M,420000,7000
Tears of the Sun,2003,121,6.6,48,130136,Action,$43.73M,43730000,70000000
House of 1000 Corpses,2003,89,6,31,92979,Horror,$12.63M,12630000,7000000
From Hell,2001,122,6.7,54,163863,Horror,$31.60M,31600000,35000000
Queen of the Damned,2002,101,5.2,30,59777,Drama,$30.34M,30340000,35000000
13 Going on 30,2004,98,6.3,57,215507,Comedy,$57.23M,57230000,37000000
Super Size Me,2004,100,7.2,73,113030,Documentary,$11.53M,11530000,65000
Gosford Park,2001,137,7.2,90,93743,Comedy,$41.31M,41310000,19800000
My Big Fat Greek Wedding,2002,95,6.6,62,144210,Comedy,$241.44M,241440000,5000000
The Rules of Attraction,2002,110,6.6,50,53235,Comedy,$6.53M,6530000,4000000
Along Came Polly,2004,90,6,44,143350,Comedy,$88.10M,88100000,42000000
Starsky & Hutch,2004,101,6.1,55,154200,Comedy,$88.24M,88240000,60000000
Charlie's Angels: Full Throttle,2003,106,4.9,48,132738,Action,$100.83M,100830000,120000000
Ella Enchanted,2004,96,6.3,53,74489,Comedy,$22.92M,22920000,31000000
Sweet Home Alabama,2002,108,6.2,45,123174,Comedy,$127.22M,127220000,30000000
Solaris,2002,99,6.2,67,86134,Drama,$14.97M,14970000,47000000
Monster's Ball,2001,111,7.1,69,93869,Drama,$31.27M,31270000,4000000
The Time Machine,2002,96,6,42,130087,Action,$56.68M,56680000,750000
Ali,2001,157,6.7,65,105346,Biography,$58.20M,58200000,107000000
Shanghai Knights,2003,114,6.2,58,112283,Action,$60.48M,60480000,50000000
Around the World in 80 Days,2004,120,5.9,49,94545,Action,$24.01M,24010000,110000000
Mona Lisa Smile,2003,117,6.5,45,90599,Drama,$63.86M,63860000,65000000
Brother Bear,2003,85,6.9,48,123157,Animation,$85.34M,85340000,100000000
Taking Lives,2004,103,6.2,38,95073,Crime,$32.68M,32680000,45000000
Ghost Ship,2002,91,5.6,28,108702,Horror,$30.11M,30110000,35000000
Johnny English,2003,89,6.2,51,173638,Action,$28.08M,28080000,40000000
A Man Apart,2003,109,6,36,49359,Action,$26.18M,26180000,36000000
Hart's War,2002,125,6.3,49,55184,Drama,$19.08M,19080000,70000000
Alex & Emma,2003,96,5.5,32,13875,Comedy,$14.21M,14210000,30000000
Rock Star,2001,105,6.3,54,45219,Drama,$17.01M,17010000,57000000
Bulletproof Monk,2003,104,5.5,40,52102,Action,$23.02M,23020000,52000000
Gigli,2003,121,2.6,18,50659,Comedy,$6.07M,6070000,54000000
Out of Time,2003,105,6.5,63,65370,Crime,$41.09M,41090000,50000000
The Dreamers,2003,115,7.1,63,131050,Drama,$2.53M,2530000,15000000
Frailty,2001,100,7.2,64,90881,Crime,$13.10M,13100000,11000000
Mean Creek,2004,90,7.1,74,33320,Crime,$0.60M,600000,500000
Cabin Fever,2002,93,5.6,56,83442,Horror,$21.16M,21160000,1500000
Timeline,2003,116,5.6,29,65755,Action,$19.48M,19480000,80000000
The Village,2004,108,6.6,44,276821,Drama,$114.20M,114200000,60000000
King Kong,2005,187,7.2,81,445058,Action,$218.08M,218080000,672000
Brokeback Mountain,2005,134,7.7,87,380767,Drama,$83.04M,83040000,14000000
V for Vendetta,2005,132,8.2,62,1176080,Action,$70.51M,70510000,54000000
National Treasure,2004,131,6.9,40,353920,Action,$173.01M,173010000,100000000
Batman Begins,2005,140,8.2,70,1571928,Action,$206.85M,206850000,150000000
Spider-Man 2,2004,127,7.5,83,705055,Action,$373.59M,373590000,200000000
The Devil Wears Prada,2006,109,6.9,62,463910,Comedy,$124.74M,124740000,35000000
Accepted,2006,93,6.4,47,139748,Comedy,$36.32M,36320000,23000000
Sin City,2005,124,8,74,792471,Crime,$74.10M,74100000,40000000
A History of Violence,2005,96,7.4,82,252102,Action,$31.49M,31490000,32000000
Star Wars: Episode III - Revenge of the Sith,2005,140,7.6,68,842087,Action,$380.26M,380260000,113000000
Pride & Prejudice,2005,129,7.8,82,328817,Drama,$38.41M,38410000,28000000
Pirates of the Caribbean: Dead Man's Chest,2006,151,7.4,53,764613,Action,$423.32M,423320000,200000000
Cinderella Man,2005,144,8,69,197813,Biography,$61.65M,61650000,88000000
Resident Evil: Apocalypse,2004,94,6.1,36,209380,Action,$51.20M,51200000,45000000
Rent,2005,135,6.8,53,55807,Drama,$29.08M,29080000,40000000
The Producers,2005,134,6.3,52,44688,Comedy,$19.38M,19380000,947000
"I, Robot",2004,115,7.1,59,573250,Action,$144.80M,144800000,120000000
Unleashed,2005,103,7,58,107831,Action,$24.52M,24520000,45000000
Meet the Fockers,2004,115,6.3,41,285831,Comedy,$279.26M,279260000,80000000
Walk the Line,2005,136,7.8,72,265099,Biography,$119.52M,119520000,28000000
War of the Worlds,2005,116,6.5,73,473724,Action,$234.28M,234280000,132000000
The Black Dahlia,2006,121,5.6,49,76904,Crime,$22.52M,22520000,50000000
Collateral,2004,120,7.5,71,431694,Action,$101.01M,101010000,65000000
Million Dollar Baby,2004,132,8.1,86,719617,Drama,$100.49M,100490000,30000000
Crash,2004,112,7.7,66,448385,Crime,$54.58M,54580000,10000000
Kiss Kiss Bang Bang,2005,103,7.5,73,236879,Comedy,$4.24M,4240000,15000000
Little Miss Sunshine,2006,101,7.8,80,516291,Comedy,$59.89M,59890000,8000000
Hard Candy,2005,104,7,58,167764,Drama,$1.01M,1010000,950000
Talladega Nights: The Ballad of Ricky Bobby,2006,108,6.6,66,198847,Comedy,$148.21M,148210000,72500000
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,84,7.4,89,440292,Comedy,$128.51M,128510000,18000000
Snakes on a Plane,2006,105,5.5,58,144442,Action,$34.02M,34020000,33000000
Jarhead,2005,125,7,58,205592,Biography,$62.66M,62660000,72000000
The Fast and the Furious: Tokyo Drift,2006,104,6,45,298407,Action,$62.51M,62510000,85000000
Cars,2006,116,7.2,73,466788,Animation,$244.08M,244080000,120000000
Robots,2005,91,6.4,64,161312,Animation,$128.20M,128200000,75000000
Shaun of the Dead,2004,99,7.9,76,591847,Comedy,$13.54M,13540000,4000000
The Sisterhood of the Traveling Pants,2005,119,6.5,66,64835,Comedy,$39.01M,39010000,25000000
Der Untergang,2004,156,8.2,82,374031,Biography,$5.51M,5510000,18339750
Sideways,2004,127,7.5,94,203591,Comedy,$71.50M,71500000,16000000
The Illusionist,2006,110,7.5,68,388958,Drama,$39.87M,39870000,40000000
I Heart Huckabees,2004,107,6.5,55,66196,Comedy,$12.78M,12780000,22000000
The New World,2005,135,6.7,73,89497,Biography,$12.71M,12710000,30000000
Into the Blue,2005,110,5.9,45,79371,Action,$18.47M,18470000,50000000
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143,6.9,75,426652,Adventure,$291.71M,291710000,180000000
Over the Hedge,2006,83,6.7,67,188842,Animation,$155.02M,155020000,80000000
Four Brothers,2005,109,6.8,49,156177,Action,$74.49M,74490000,45000000
Charlie and the Chocolate Factory,2005,115,6.7,72,526826,Adventure,$206.46M,206460000,150000000
Crank,2006,88,6.9,57,262867,Action,$27.83M,27830000,12000000
The Da Vinci Code,2006,149,6.6,46,457591,Mystery,$217.54M,217540000,125000000
Silent Hill,2006,125,6.5,31,243291,Horror,$46.98M,46980000,50000000
Corpse Bride,2005,77,7.4,83,297810,Animation,$53.36M,53360000,40000000
Closer,2004,104,7.2,65,235406,Drama,$33.99M,33990000,27000000
Munich,2005,164,7.5,74,237752,Action,$47.40M,47400000,70000000
Poseidon,2006,98,5.7,50,110141,Action,$60.67M,60670000,160000000
The Queen,2006,103,7.3,90,115787,Biography,$56.44M,56440000,15000000
Kingdom of Heaven,2005,144,7.3,63,312613,Action,$47.40M,47400000,130000000
The Departed,2006,151,8.5,85,1416471,Crime,$132.38M,132380000,90000000
The Incredibles,2004,115,8,90,804718,Animation,$261.44M,261440000,92000000
Inside Man,2006,129,7.6,76,396219,Crime,$88.51M,88510000,45000000
Madagascar,2005,86,6.9,57,435746,Animation,$193.60M,193600000,75000000
Click,2006,107,6.4,45,355306,Comedy,$137.36M,137360000,82500000
The 40 Year Old Virgin,2005,116,7.1,73,465078,Comedy,$109.45M,109450000,26000000
Harry Potter and the Goblet of Fire,2005,157,7.7,81,678714,Adventure,$290.01M,290010000,150000000
Basic Instinct 2,2006,114,4.4,26,41490,Drama,$5.97M,5970000,70000000
The Hitchhiker's Guide to the Galaxy,2005,109,6.7,63,207898,Adventure,$51.09M,51090000,50000000
Ocean's Twelve,2004,125,6.5,58,412807,Crime,$125.54M,125540000,110000000
Brick,2005,110,7.1,72,109911,Crime,$2.06M,2060000,475000
Fun with Dick and Jane,2005,90,6.2,47,153674,Comedy,$110.33M,110330000,3000000
Thank You for Smoking,2005,92,7.5,71,228575,Comedy,$24.79M,24790000,6500000
Mindhunters,2004,106,6.3,33,64009,Crime,$4.48M,4480000,27000000
Hustle & Flow,2005,116,7.3,68,43119,Crime,$22.20M,22200000,8000000
Underworld: Evolution,2006,106,6.7,36,208808,Action,$62.32M,62320000,50000000
"Yours, Mine & Ours",2005,88,5.5,38,30220,Comedy,$53.41M,53410000,45000000
Final Destination 3,2006,93,5.8,43,153183,Horror,$54.10M,54100000,25000000
Capote,2005,114,7.3,88,140411,Biography,$28.75M,28750000,7000000
Ray,2004,152,7.7,73,157029,Biography,$75.33M,75330000,40000000
Lord of War,2005,122,7.6,62,335858,Crime,$24.15M,24150000,42000000
Shortbus,2006,101,6.4,64,35317,Comedy,$1.99M,1990000,2000000
John Tucker Must Die,2006,89,5.7,41,87841,Comedy,$41.01M,41010000,18000000
Bride & Prejudice,2004,122,6.2,55,21627,Comedy,$6.61M,6610000,7000000
The Bourne Supremacy,2004,108,7.7,73,485691,Action,$176.24M,176240000,75000000
A Cinderella Story,2004,95,5.9,25,93725,Comedy,$51.44M,51440000,19000000
Idiocracy,2006,84,6.5,66,180957,Adventure,$0.44M,440000,30000000
Clerks II,2006,97,7.3,65,140465,Comedy,$24.15M,24150000,5000000
Constantine,2005,121,7,50,372818,Action,$75.98M,75980000,100000000
Mar adentro,2004,126,8,74,85092,Biography,$2.09M,2090000,12806000
Match Point,2005,124,7.6,72,227562,Drama,$23.09M,23090000,15000000
"Paris, je t'aime",2006,120,7.2,66,74462,Comedy,$4.86M,4860000,13000000
The Last King of Scotland,2006,123,7.6,74,195603,Biography,$17.61M,17610000,6000000
The Hills Have Eyes,2006,107,6.4,52,182638,Horror,$41.78M,41780000,230000
Step Up,2006,104,6.5,48,126474,Crime,$65.33M,65330000,12000000
The Ring Two,2005,110,5.4,44,100671,Horror,$76.23M,76230000,50000000
Scary Movie 4,2006,83,5.1,40,128787,Comedy,$90.71M,90710000,45000000
Blade: Trinity,2004,113,5.8,38,187801,Action,$52.41M,52410000,65000000
Little Children,2006,137,7.5,75,116406,Drama,$5.46M,5460000,26000000
Lords of Dogtown,2005,107,7.1,56,57993,Biography,$11.01M,11010000,25000000
AVP: Alien vs. Predator,2004,101,5.7,29,211528,Action,$80.28M,80280000,70000000
The Fountain,2006,97,7.2,51,248350,Drama,$10.14M,10140000,35000000
Coach Carter,2005,136,7.3,57,170897,Biography,$67.26M,67260000,30000000
Wolf Creek,2005,99,6.2,56,78034,Horror,$16.19M,16190000,1000000
Stay Alive,2006,85,5,24,33923,Fantasy,$23.09M,23090000,9000000
Hotel Rwanda,2004,121,8.1,79,371136,Biography,$23.53M,23530000,17500000
Be Cool,2005,118,5.6,37,72045,Comedy,$56.05M,56050000,53000000
Saw II,2005,93,6.6,40,275481,Horror,$87.04M,87040000,4000000
Flightplan,2005,98,6.3,53,171391,Drama,$89.71M,89710000,55000000
The Longest Yard,2005,113,6.4,48,194312,Comedy,$158.12M,158120000,2900000
Transporter 2,2005,87,6.3,56,214776,Action,$43.10M,43100000,32000000
Hitch,2005,118,6.6,58,334447,Comedy,$179.50M,179500000,70000000
Aquamarine,2006,110,5.4,51,44965,Comedy,$18.60M,18600000,12000000
Bridget Jones: The Edge of Reason,2004,108,6,44,122064,Comedy,$40.23M,40230000,50000000
X-Men: The Last Stand,2006,104,6.6,58,539165,Action,$234.36M,234360000,210000000
Alexander,2004,175,5.6,40,176349,Action,$34.30M,34300000,155000000
Memoirs of a Geisha,2005,145,7.3,54,160084,Drama,$57.49M,57490000,85000000
The Skeleton Key,2005,104,6.5,47,122558,Drama,$47.81M,47810000,43000000
Fantastic Four,2005,106,5.7,40,343107,Action,$154.70M,154700000,100000000
Miami Vice,2006,132,6.1,66,123417,Action,$63.45M,63450000,135000000
2046,2004,129,7.4,78,61603,Drama,$1.44M,1440000,12000000
A Scanner Darkly,2006,100,7,73,116876,Animation,$5.50M,5500000,8700000
The Princess Diaries 2: Royal Engagement,2004,113,5.8,43,88542,Comedy,$95.17M,95170000,40000000
Serenity,2005,119,7.8,74,305199,Action,$25.51M,25510000,39000000
The Lake House,2006,99,6.8,52,157314,Drama,$52.33M,52330000,40000000
Wimbledon,2004,98,6.3,59,66460,Comedy,$17.00M,17000000,31000000
Lucky Number Slevin,2006,110,7.7,53,325045,Crime,$22.50M,22500000,27000000
Team America: World Police,2004,98,7.2,64,178201,Action,$32.79M,32790000,32000000
She's the Man,2006,105,6.4,45,174974,Comedy,$2.34M,2340000,20000000
Syriana,2005,128,6.9,76,134084,Drama,$50.82M,50820000,50000000
A Lot Like Love,2005,107,6.6,48,71124,Comedy,$21.84M,21840000,30000000
"Good Night, and Good Luck.",2005,93,7.4,80,101130,Biography,$31.56M,31560000,7000000
xXx: State of the Union,2005,101,4.5,37,73453,Action,$26.87M,26870000,60000000
The Life Aquatic with Steve Zissou,2004,119,7.2,62,210445,Action,$24.01M,24010000,50000000
The Squid and the Whale,2005,81,7.3,82,90132,Comedy,$7.36M,7360000,1500000
The SpongeBob SquarePants Movie,2004,87,7.1,67,101383,Animation,$85.42M,85420000,30000000
The Omen,2006,110,5.5,43,62235,Drama,$54.61M,54610000,2800000
